ope_id_00100200,school_alabama_agricultural_mechanical_university,state_al,zip_code_357621357,school_type_public,recipients_236,number_of_loans_originated_240,dollar_amount_of_loans_originated_843545,number_of_disbursements_529,dollar_amount_of_disbursements_970795,recipients_283,number_of_loans_originated_306,dollar_amount_of_loans_originated_966467,number_of_disbursements_671,dollar_amount_of_disbursements_1113771,recipients_55,number_of_loans_originated_56,dollar_amount_of_loans_originated_481420,number_of_disbursements_118,dollar_amount_of_disbursements_576247,recipients_172,number_of_loans_originated_178,dollar_amount_of_loans_originated_2122746,number_of_disbursements_375,dollar_amount_of_disbursements_2332380,recipients_42,number_of_loans_originated_43,dollar_amount_of_loans_originated_331579,number_of_disbursements_85,dollar_amount_of_disbursements_333079
537300,LAKE WASHINGTON INSTITUTE OF TECHNOLOGY,WA,980348505,Public,29,29,89155,49,100664,30,31,114214,53,133589,,,,,,,,,,,,,,,
538000,MID-STATE TECHNICAL COLLEGE,WI,544945512,Public,25,25,46008,52,47758,16,19,46129,38,48254,,,,,,,,,,,,,,,
538400,NICOLET AREA TECHNICAL COLLEGE,WI,545010518,Public,10,11,20625,19,17042,10,11,19669,22,22319,,,,,,,,,,,,,,,
538700,NORTHCENTRAL TECHNICAL COLLEGE,WI,544011899,Public,137,143,436651,283,221620,129,133,624703,262,293224,,,,,,,,,,,,,,,
538900,GATEWAY TECHNICAL COLLEGE,WI,531441690,Public,495,498,695953,988,693033,439,443,819284,881,815284,,,,,,1,1,7133,2,2378,,,,,
539000,BLACKHAWK TECHNICAL COLLEGE,WI,535475009,Public,28,30,79481,53,80866,32,36,84959,52,61608,,,,,,,,,,,,,,,
539900,MONMOUTH COUNTY VOCATIONAL SCHOOL DISTRICT,NJ,077534473,Public,5,5,17500,12,21000,5,5,22421,11,25421,,,,,,,,,,,,,,,
542400,SOUTHERN MISSOURI TECHNICAL INSTITUTE,MO,657753052,Public,7,7,21640,18,30390,7,7,36214,17,46214,,,,,,,,,,,,,,,
543800,SALINE COUNTY CAREER CENTER,MO,653401698,Public,10,10,17520,20,17520,11,11,30552,22,30552,,,,,,,,,,,,,,,
544800,DURHAM TECHNICAL COMMUNITY COLLEGE,NC,277035023,Public,81,87,267323,207,327063,100,120,254508,272,332817,,,,,,,,,,,,,,,
545200,AVIATION INSTITUTE OF MAINTENANCE,NJ,076043015,Proprietary,385,397,1560374,665,1318222,384,392,1722045,658,1492012,,,,,,25,25,212800,42,183586,,,,,
546100,SALEM COMMUNITY COLLEGE,NJ,080692799,Public,3,3,9000,4,9500,5,5,23551,9,27651,,,,,,,,,,,,,,,
548900,CENTRAL LOUISIANA TECHNICAL COMMUNITY COLLEGE,LA,713010516,Public,20,21,59695,35,52329,18,18,51667,27,39499,,,,,,,,,,,,,,,
549800,WICHITA STATE UNIVERSITY CAMPUS OF APPLIED SCIENCES AND TECHNOLOGY,KS,672268101,Public,58,61,180992,119,181119,62,64,291696,120,273520,,,,,,3,3,51573,5,39132,,,,,
549900,SALINA AREA TECHNICAL COLLEGE,KS,674018195,Public,2,2,5750,4,6957,1,1,1598,4,6348,,,,,,,,,,,,,,,
550000,MANHATTAN AREA TECHNICAL COLLEGE,KS,665032499,Public,9,9,15527,14,19577,11,12,24487,19,34002,,,,,,,,,,,,,,,
551900,DIMAN REGIONAL VOCATIONAL TECHNICAL INSTITUTE,MA,027203519,Public,1,1,1030,1,515,1,1,1373,1,686,,,,,,,,,,,,,,,
552500,SOUTHERN MAINE COMMUNITY COLLEGE,ME,041061698,Public,11,11,33136,15,31636,16,16,35296,25,37152,,,,,,,,,,,,,,,
553200,CAPE GIRARDEAU CAREER AND TECHNOLOGY CENTER,MO,637037511,Public,10,10,18713,24,36213,8,8,19849,17,36849,,,,,,,,,,,,,,,
553300,SAINT PAUL COLLEGE - A COMMUNITY & TECHNICAL COLLEGE,MN,551021800,Public,79,79,189366,107,130843,100,103,286331,144,213345,,,,,,3,3,11928,5,9270,,,,,
553400,ST. CLOUD TECHNICAL AND COMMUNITY COLLEGE,MN,563031240,Public,61,66,156086,69,157836,103,110,313644,118,315644,,,,,,,,,,,,,,,
553500,PINE TECHNICAL AND COMMUNITY COLLEGE,MN,550632198,Public,7,9,15452,12,12388,8,10,33210,15,25777,,,,,,,,,,,,,,,
553700,SOUTH CENTRAL COLLEGE,MN,560011920,Public,22,24,46623,35,32199,34,37,93864,46,58531,,,,,,,,,,,,,,,
554100,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE,MN,565371000,Public,71,76,158642,153,163142,108,113,251973,227,256236,,,,,,,,,,,,,,,
554400,ALEXANDRIA TECHNICAL AND COMMUNITY COLLEGE,MN,563083799,Public,17,18,42561,22,42561,22,25,59686,30,59686,,,,,,1,1,1880,1,1880,,,,,
562100,SOUTHERN CRESCENT TECHNICAL COLLEGE,GA,302232097,Public,96,96,324878,433,677558,82,82,292140,407,748399,,,,,,,,,,,,,,,
569700,NORTHWEST - SHOALS COMMUNITY COLLEGE,AL,356623206,Public,48,48,146542,69,111755,24,27,80783,31,47117,,,,,,,,,,,,,,,
570700,SOUTHEAST ARKANSAS COLLEGE,AR,716033900,Public,24,24,75449,57,91495,27,27,144511,59,146044,,,,,,,,,,,,,,,
575200,CLOVER PARK TECHNICAL COLLEGE,WA,984994004,Public,33,33,84197,148,163270,46,46,145887,186,300531,,,,,,0,0,0,1,6250,,,,,
575300,OWENS COMMUNITY COLLEGE,OH,435510000,Public,252,252,894629,294,378382,224,224,1142003,263,465815,,,,,,2,2,46468,3,18989,,,,,
575700,LAKE SUPERIOR COLLEGE,MN,558113399,Public,39,40,91891,50,61698,40,51,175784,62,111189,,,,,,4,5,61381,8,45847,,,,,
575900,NORTHWEST TECHNICAL COLLEGE - BEMIDJI,MN,566014907,Public,12,12,31661,13,31661,22,22,48437,25,48937,,,,,,,,,,,,,,,
576000,NORTHERN MAINE COMMUNITY COLLEGE,ME,047692016,Public,2,2,7000,17,29250,4,4,17048,18,36415,,,,,,,,,,,,,,,
576100,L. E. FLETCHER TECHNICAL COMMUNITY COLLEGE,LA,703953232,Public,111,113,394323,269,409360,101,103,509633,233,435879,,,,,,,,,,,,,,,
576300,CENTRAL GEORGIA TECHNICAL COLLEGE,GA,310882729,Public,336,338,880603,730,797118,298,301,768021,694,828196,,,,,,,,,,,,,,,
